Start,End,Open,High,Low,Close,Volume,Volatility,Impact,Rolling_std,Price_to_Volume,Cluster
2024-02-25,2024-02-26,51568.1,51932.93,51340.03,51743.97,0.12368176360791984,0.0494088010031946,2.2593871328895418e-08,4384.029661447265,418363.77886745,0
2024-02-19,2024-02-20,52132.71,52476.91,51735.45,51739.37,0.15177042301719265,0.06178891818490284,2.302627504100414e-08,450.1470931483182,340905.487191921,0
2024-02-11,2024-02-12,47703.97,48534.61,47608.53,48269.68,0.1456750645442193,0.07717406381015084,2.996297101742466e-08,1464.5579020300277,331351.6980481437,0
2024-02-06,2024-02-07,42699.98,43360.57,42578.66,43105.15,0.1407926341946961,0.06515978342453636,2.6175628062606084e-08,2417.5416810991583,306160.5477200728,0
2024-02-05,2024-02-06,42588.21,43494.23,42286.04,42713.66,0.12951912514604752,0.10068345300058973,4.396612701319963e-08,2244.4618320794525,329786.50799127546,0
2024-02-04,2024-02-05,43000.02,43107.98,42228.04,42609.98,0.10142487492501172,0.07332902741567054,4.088967745798401e-08,2100.4316679117073,420113.7051586567,0
2024-02-03,2024-02-04,43170.0,43355.96,42925.88,42970.67,0.1235619232062015,0.035840339240097774,1.6405120118700367e-08,1676.1189289105323,347766.27689980244,0
2024-01-29,2024-01-30,41947.97,43283.58,41847.34,43269.41,0.12998631527253732,0.11968779954938151,5.207705460727836e-08,259.94835127113106,332876.65635631484,0
2024-01-28,2024-01-29,42121.73,42834.18,41696.43,42018.7,0.11311990539160313,0.09481339743866507,4.74043860612262e-08,429.0967331888701,371452.7505529459,0
2024-01-25,2024-01-26,40069.56,40278.07,39579.43,39929.16,0.14432665551826873,0.0582205510758505,2.2815402489546426e-08,1085.35523949324,276658.2503877519,0
2024-01-21,2024-01-22,41697.86,41864.33,41530.03,41549.91,0.08223056789837598,0.02785859702372754,1.9160000976422356e-08,1084.748368330526,505285.45602833666,0
2024-01-20,2024-01-21,41633.22,41857.38,41467.97,41668.99,0.16418759180492515,0.032451140493597194,1.1178733819325469e-08,998.9279910486617,253788.9102454699,0
2024-01-14,2024-01-15,42827.96,43054.18,41737.9,41737.9,0.1201837226998687,0.10969103826022056,5.161978666001039e-08,702.567908627725,347284.13351141434,0
