Start,End,Open,High,Low,Close,Volume,Volatility,Impact,Rolling_std,Price_to_Volume,Cluster
2024-03-12,2024-03-13,72263.99,72493.29,69356.89,71473.86,0.4206187371115776,0.2613691406078915,3.514706907517045e-08,2649.339779752805,169925.52564542583,1
2024-03-10,2024-03-11,68323.85,69857.99,68231.15,68949.74,0.2161384791412867,0.1355712832248903,3.5476981066189025e-08,2620.1856117503194,319007.241440468,1
2024-03-09,2024-03-10,68080.71,68641.97,67899.97,68513.59,0.35328056804104635,0.061833918610845515,9.899834762987773e-09,1731.3183981935056,193935.34826981951,1
2024-03-08,2024-03-09,66871.2,69451.15,66398.03,68202.87,0.3352107885579251,0.25442907491798433,4.2930785746542246e-08,1943.9709312027942,203462.63404411403,1
2024-03-07,2024-03-08,65993.97,67854.61,65688.09,66903.82,0.39143017919317286,0.1805450422490152,2.6088776063392718e-08,2314.3509678072064,170921.46583562894,1
2024-03-03,2024-03-04,61943.57,63182.52,61424.1,63099.99,0.18482004501284313,0.14653638701304966,4.484387500050519e-08,2163.8106183823475,341413.12970470916,1
2024-03-02,2024-03-03,62360.1,62360.1,61675.41,62004.02,0.26493459570416894,0.0570580400723174,1.2181307524219311e-08,2494.5544125479573,234035.19587617344,1
2024-03-01,2024-03-02,61140.04,62936.0,60791.79,62481.07,0.4051271669012182,0.17868585798458356,2.494719574051005e-08,2398.3608200524477,154225.82118575796,1
2024-02-27,2024-02-28,54560.01,57501.14,54463.73,57029.24,0.38296526629439864,0.25311989585952566,3.738428079484656e-08,3279.900251810981,148914.914795849,1
2024-02-24,2024-02-25,50751.71,51664.32,50590.04,51549.1,0.15417642803817785,0.08952418070789629,3.28415149333583e-08,4858.227939092921,334351.37041334994,1
2024-02-23,2024-02-24,51284.45,51501.55,50660.19,50830.04,0.1861455749489468,0.0701139969843949,2.1303891747686933e-08,4777.455264883632,273066.06678101746,1
2024-02-22,2024-02-23,51775.9,52026.56,50947.82,51339.49,0.22003569478638835,0.08989585089253822,2.3107768083565663e-08,4272.248794409805,233323.46167670935,1
2024-02-21,2024-02-22,52294.99,52341.7,50772.85,51833.0,0.24563152570218957,0.13073873748332196,3.010469829475945e-08,2241.9468249382307,211019.33007916808,1
2024-02-20,2024-02-21,51797.82,52887.96,50803.55,52278.15,0.20833868305327993,0.17370247748198417,4.715700182165342e-08,1169.448888792655,250928.67648890024,1
2024-02-18,2024-02-19,51647.99,52338.43,51214.73,52119.06,0.1487351049387385,0.09364255302292038,3.5608957739669094e-08,488.5810265436434,350415.3240855073,1
2024-02-17,2024-02-18,52124.11,52149.08,50630.03,51673.99,0.16560330451972957,0.1265886982018936,4.3234376986949895e-08,485.7130983393762,312034.7758147766,1
2024-02-16,2024-02-17,51883.3,52467.94,51629.9,52121.96,0.22463199190590535,0.06983732769896635,1.758441837687446e-08,324.13034831437875,232032.66621894637,1
2024-02-15,2024-02-16,51837.11,52771.03,51325.97,51888.33,0.25002068700707714,0.12042280650645319,2.72425208360037e-08,225.04463450043067,207536.14679305014,1
2024-02-14,2024-02-15,49676.0,51945.99,49324.02,51819.74,0.2440758744431035,0.21849956816722194,5.063370236531731e-08,226.25159239282698,212309.9635235751,1
2024-02-13,2024-02-14,49946.97,50204.94,48449.96,49741.98,0.25050748840021375,0.14624971763296746,3.3020896337942987e-08,831.5765564638974,198564.84258279586,1
2024-02-12,2024-02-13,48273.97,50255.98,47745.03,50017.36,0.1829687010191205,0.20924781392978814,6.468305877870021e-08,1013.5585129623718,273365.6615661993,1
2024-02-10,2024-02-11,47195.14,48080.16,46879.57,47760.23,0.21338436622843526,0.10005011367250033,2.6519522558326755e-08,1783.387677090625,223822.53603748573,1
2024-02-09,2024-02-10,45369.94,48076.09,45252.45,47093.93,0.22364114045462463,0.23530556057456575,5.951033388050782e-08,1903.5055309346549,210578.11592386803,1
2024-02-08,2024-02-09,44419.55,45550.04,44353.96,45315.99,0.18314219470911194,0.09967427678175231,3.078230462248769e-08,2142.5204020663186,247436.09779262613,1
2024-02-07,2024-02-08,43110.05,44334.08,42795.21,44328.04,0.13182568037628734,0.12824038050225336,5.501986632302628e-08,2122.094862895569,336262.55425702076,1
2024-02-02,2024-02-03,43066.98,43424.42,42629.75,43189.15,0.1556759148063248,0.06622312682275,2.4059655631857794e-08,993.0130065780822,277429.87766432134,1
2024-02-01,2024-02-02,42604.11,43239.64,41932.02,43069.45,0.1846341391159553,0.10896936476268729,3.338098203296836e-08,564.4172390342262,233269.1570812438,1
2024-01-31,2024-02-01,43006.66,43741.81,42287.98,42611.24,0.1714260503684394,0.1211536467574194,3.997275399127537e-08,245.45321638420583,248569.2221714104,1
2024-01-30,2024-01-31,43188.23,43791.13,42811.98,42915.56,0.16845490395119525,0.08159660567090164,2.739632232491101e-08,228.34235803164574,254759.93273804302,1
2024-01-27,2024-01-28,41822.6,42190.01,41473.93,42112.7,0.15745976367103362,0.05967389816557192,2.1434648434841456e-08,508.5472602049482,267450.54748070263,1
2024-01-26,2024-01-27,39947.42,42205.19,39829.36,41866.1,0.15426920307652384,0.19798770734933316,7.258716235349002e-08,557.6691000687813,271383.3945147996,1
2024-01-24,2024-01-25,39920.76,40538.01,39571.64,40145.83,0.19607771453419817,0.08053159559024654,2.322985522331766e-08,1276.269224210525,204744.48152035204,1
2024-01-23,2024-01-24,39588.08,40166.68,38604.83,39873.77,0.22282486861374687,0.13015539862850267,3.303774009166316e-08,1330.3876177892803,178946.67793619892,1
